"SourceGroup","FullName","Exists","Extension","SizeBytes","LastWriteTime","Signature","Category"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z01 y 16 - Centro y Centro Cívico Gral.Solari.dwg","True",".dwg","1089184","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z02 - Pietrobelli y Balcón del Paraíso.dwg","True",".dwg","296576","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z03 - Jorge Newbery.dwg","True",".dwg","470400","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z04 - Las Flores.dwg","True",".dwg","339424","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z05 - La Floresta.dwg","True",".dwg","354112","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z06 - San Martín.dwg","True",".dwg","488800","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z07 - 9 de Julio.dwg","True",".dwg","286176","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z08 - 13 de Diciembre.dwg","True",".dwg","250720","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z09 - José Fuchs.DWG","True",".DWG","420640","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z10 - Ceferino Namuncurá.dwg","True",".dwg","562240","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z11 - Gral. E.Mosconi, 25 de Mayo y Divina Providencia.dwg","True",".dwg","2132384","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z12 - Presidente Roberto M.Ortiz y Las Orquídeas.dwg","True",".dwg","1389984","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z13 - Próspero Palazzo.dwg","True",".dwg","1004864","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z14 - Ciudadela, Gasoducto y Padre Juan Corti.bak","True",".bak","633792","26/04/2025 08:36:28 p. m.","AC1021","cad_backup"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z14 - Ciudadela, Gasoducto y Padre Juan Corti.dwg","True",".dwg","604342","27/04/2025 08:34:02 p. m.","AC1032","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z15 - Laprida.dwg","True",".dwg","568064","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z17 y Z18 - Pueyrredón y Tte. Gral. Julio A. Roca.dwg","True",".dwg","1221952","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Bella Vista Sur, Los Arenales, El Atardecer, Bella Vista Oeste + Linderos.bak","True",".bak","2648320","26/04/2025 08:36:28 p. m.","AC1021","cad_backup"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Bella Vista Sur, Los Arenales, El Atardecer, Bella Vista Oeste + Linderos.dwg","True",".dwg","2637316","27/04/2025 08:34:04 p. m.","AC1032","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Chacras _Ampliación Urbana y Ex Radio Estación de YPF_.dwg","True",".dwg","594464","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Chacras _Bella Vista Norte_.dwg","True",".dwg","218784","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Chacras _Km 17_ y _Km 18_ - Partes y linderos.dwg","True",".dwg","792032","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Chacras _Sur_.dwg","True",".dwg","1614112","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z19 - Minas San Jorge, George Stephenson, Sol de Mayo y linderos.dwg","True",".dwg","465824","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z20 -23 y 33 - Humberto Beghin, Stella Maris, Parque Industrial y Acc. Sur.dwg","True",".dwg","2904352","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z21 - 30 de Octubre.dwg","True",".dwg","270624","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z22 - Saavedra.dwg","True",".dwg","695744","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z23 - Stella Maris.dwg","True",".dwg","418528","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z24 - Don Bosco, Std. Sur, Gdor. Fontana, Std.Norte + Restinga Alí.bak","True",".bak","1324352","26/04/2025 08:36:26 p. m.","AC1021","cad_backup"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z24 - Don Bosco, Std. Sur, Gdor. Fontana, Std.Norte + Restinga Alí.dwg","True",".dwg","1313937","17/07/2025 09:23:40 a. m.","AC1032","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z25 - Diadema Argentina.dwg","True",".dwg","972128","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z26 - Manantial Rosales.dwg","True",".dwg","862560","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z27 - Astra.dwg","True",".dwg","1243552","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z28 - Caleta Córdova.dwg","True",".dwg","502592","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z29 - Doctor Quirno Costa.dwg","True",".dwg","415040","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z30 - Juan XXIII.dwg","True",".dwg","543872","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z31 - Máximo Abásolo.dwg","True",".dwg","956416","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z32 - ARA San Juan y Acceso Noroeste + Chacras.dwg","True",".dwg","898880","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z32 - Centenario, Gesta de Malvinas, Dr. R.G. Favaloro + Aeropuerto y C. Chacabuco.dwg","True",".dwg","3410816","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z34 - Restinga Alí.dwg","True",".dwg","289472","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z35 - Cordón Forestal, Malvinas Argentinas, Gdor. Roque Gonzalez y Los Tres Pinos.dwg","True",".dwg","1321728","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z36 - San Isidro Labrador.dwg","True",".dwg","363680","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z37 - Maestro Isidro Quiroga.dwg","True",".dwg","502304","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z38 - J.J. Castelli, N.Rodriguez Peña, Sarmiento y Güemes.dwg","True",".dwg","2019200","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z39 y 41 - San Cayetano y Monseñor A. D. Moure.dwg","True",".dwg","834976","26/04/2025 08:36:28 p. m.","AC1021","dwg"
"barrios_dwg","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\2 - DCCION. GRAL. DE CATASTRO ↔ Barrios DWG - A Areas MCR - Enero 2025\- Z40 - Mario Abel Amaya.dwg","True",".dwg","463712","26/04/2025 08:36:26 p. m.","AC1021","dwg"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Circunscripciones - Sectores.kmz","True",".kmz","48303","13/04/2026 11:23:28 a. m.","PK....","kmz"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Drenaje Comodoro Rivadavia.kmz","True",".kmz","2860016","13/04/2026 11:24:22 a. m.","PK....","kmz"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Limite de Barrios.kmz","True",".kmz","37824","13/04/2026 11:23:36 a. m.","PK....","kmz"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Lineas electricas.kmz","True",".kmz","130219","13/04/2026 11:23:24 a. m.","PK....","kmz"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Parcelas.kmz","True",".kmz","8299561","13/04/2026 11:23:56 a. m.","PK....","kmz"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Reservorios.kmz","True",".kmz","7223","13/04/2026 11:23:20 a. m.","PK....","kmz"
"kmz","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\KMZ\Zonificacion por Ordenanza.kmz","True",".kmz","129110","13/04/2026 11:22:50 a. m.","PK....","kmz"
"pac","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\PAC - Ejido Comodoro Rivadavia - Enero 2025.dwg","True",".dwg","36732041","26/04/2025 08:59:48 p. m.","AC1032","dwg"
"pac_backup","C:\Users\tes\OneDrive\Escritorio\CATGIS DESKTOP\PAC - Ejido Comodoro Rivadavia - Enero 2025.bak","True",".bak","36264224","26/04/2025 08:19:50 p. m.","AC1021","cad_backup"
